Tidsstempel,"Hvilket køn er du?
",Hvor gammel er du?,Under hvilket postnummer bor du nu? ,"Hvilken by føler du er din hjemby? Hvis flere, hvilken føler du dig mest hjemme (Svar med det postnummer byen ligger i)",Hvem bor du med?,"I hvor høj grad mener du, at trivsel påvirkes af sociale arrangementer?","I hvor høj grad mener du, at trivsel påvirkes af meget gruppearbejde på studiet?","I hvor høj grad mener du, at trivsel påvirkes af at der er meget druk på studiet? (Her tænkes der på mængden af sociale arrangementer hvori alkohol er inkluderet)","I hvor høj grad mener du, at trivsel påvirkes af at være fagligt udfordret?","I hvor høj grad mener du, at trivsel påvirkes af, om du føler dig tilpas i din bolig?","Er der andre faktorer som 3 påvirker din trivsel? (Hvis ja, hvilke?)",I hvor høj grad trives du generelt? ,I hvor høj grad føler du dig ensom?,"I hvor høj grad føler du, at du er tilfreds med mængden du ser din familie?","I hvor høj grad føler du, at du er tilfreds med mængden du ser dine venner uden for studiet?","I hvor høj grad føler du, at du har fået nogle gode venner på studiet?","I hvor høj grad føler du, at du har høje forventninger til dig selv?",I hvor høj grad føler du forventningspres fra dine omgivelser?,Mailadresse,Hvad bør vi ændre i spørgeskemaet ifølge dig hvis noget?,I hvor høj grad føler du dig stresset?,I hvor høj grad føler du dig deprimeret? ,I hvor høj grad føler du dig påvirket af angst?,Er du hjemmeboende eller udeboende?,,"Rangér venligst faktorerne der påvirker trivsel positivt. Den faktor der påvirker trivsel mest afkrydses med nr. 1, den der påvirker næstmest afkrydses med nr. 2, osv. Hvert tal må kun afkrydses en gang.  [Gruppearbejde]","Rangér venligst faktorerne der påvirker trivsel positivt. Den faktor der påvirker trivsel mest afkrydses med nr. 1, den der påvirker næstmest afkrydses med nr. 2, osv. Hvert tal må kun afkrydses en gang.  [Drukkulturen]","Rangér venligst faktorerne der påvirker trivsel positivt. Den faktor der påvirker trivsel mest afkrydses med nr. 1, den der påvirker næstmest afkrydses med nr. 2, osv. Hvert tal må kun afkrydses en gang.  [At du er fagligt udfordret ]","Rangér venligst faktorerne der påvirker trivsel positivt. Den faktor der påvirker trivsel mest afkrydses med nr. 1, den der påvirker næstmest afkrydses med nr. 2, osv. Hvert tal må kun afkrydses en gang.  [At du føler dig tilpas i din bolig]",I hvor høj grad føler du dig stresset
02/10/2023 10.25.06,Mand,23,9000,8800,Kæreste,4,4,4,2,3,,4,1,2,2,4,4,3,,,2,2,0,Udeboende,,,,,,
02/10/2023 10.25.18,Mand,22,9000,6200,Kæreste,4,3,4,3,4,,3,1,3,3,4,3,3,,,1,0,0,Udeboende,,,,,,
02/10/2023 10.25.22,Kvinde,23,9000,8900,Kæreste,3,3,5,3,3,,2,1,2,2,3,4,3,,,3,1,3,Udeboende,,,,,,
02/10/2023 10.25.52,Mand,24,9000,9320,Alene,3,4,3,3,3,,3,1,4,2,3,4,3,,,1,0,0,Udeboende,,,,,,
02/10/2023 10.26.25,Mand,23,9000,9830,Kæreste,4,3,3,5,5,,2,1,3,3,2,2,2,,,1,1,0,Udeboende,,,,,,
02/10/2023 10.29.26,Kvinde,22,9000,9000,Kæreste,3,3,1,3,0,,2,1,4,4,2,3,2,,,1,1,1,Udeboende,,,,,,
02/10/2023 10.30.53,Kvinde,24,9000,9690,Alene,3,3,3,0,1,,0,2,3,3,3,4,2,,,4,4,4,Udeboende,,,,,,
02/10/2023 10.30.56,Kvinde,23,9000,9300,Kæreste,3,3,3,3,3,,4,1,4,3,3,3,3,,,1,0,0,Udeboende,,,,,,
02/10/2023 10.32.59,Kvinde,24,9000,9000,Kæreste,3,3,3,5,3,,3,0,4,3,4,3,2,,,1,0,1,Udeboende,,,,,,
02/10/2023 10.41.46,Kvinde,25,9700,9310,Kæreste,4,3,3,1,3,,3,0,3,3,4,3,2,,,1,0,0,Udeboende,,,,,,
11/10/2023 18.29.34,Kvinde,23,9000,9370,Alene,3,4,3,1,5,,3,0,4,4,4,3,3,,,3,0,0,Udeboende,,,,,,
17/10/2023 20.11.38,Kvinde,22,9000,9280,Kæreste,4,3,3,1,0,,2,2,3,3,3,4,3,,,1,1,2,Udeboende,,,,,,
17/10/2023 20.13.27,Kvinde,24,9500,9000,Familie,3,3,1,3,4,,4,1,3,2,4,3,2,,,3,0,0,Udeboende,,,,,,
17/10/2023 20.22.45,Kvinde,22,9000,9000,Alene,4,3,5,0,3,,2,2,2,2,4,4,4,,,4,1,1,Udeboende,,,,,,
17/10/2023 20.24.50,Kvinde,23,9000,9330,Kæreste,3,3,3,3,3,,3,0,3,4,2,3,3,,,1,1,1,Udeboende,,,,,,
17/10/2023 20.28.08,Kvinde,21,9000,9500,Alene,4,4,2,1,4,Studiejobs,3,0,4,3,4,4,2,,,4,0,0,Udeboende,,,,,,
17/10/2023 20.40.17,Mand,23,9000,8960,Alene,1,4,3,3,4,,3,1,2,3,4,4,4,,,2,0,0,Udeboende,,,,,,
17/10/2023 21.03.22,Kvinde,22,9000,9530,Kæreste,3,4,4,1,3,,3,1,3,2,4,3,2,,,1,0,0,Udeboende,,,,,,
17/10/2023 21.07.21,Kvinde,23,9000,9600,Kæreste,3,3,3,1,3,,3,1,3,3,4,2,2,,,1,0,0,Udeboende,,,,,,
17/10/2023 21.39.31,Kvinde,23,9800,9850,Kæreste,4,0,0,2,2,,1,3,4,4,0,2,4,,,3,3,4,Udeboende,,,,,,
17/10/2023 21.48.20,Kvinde,26,9400,9400,Alene,3,3,3,2,3,,3,1,3,3,4,4,2,,,3,1,2,Udeboende,,,,,,
17/10/2023 21.48.40,Kvinde,23,9000,8000,Kæreste,3,3,3,1,3,,2,1,2,3,4,3,3,,,3,0,4,Udeboende,,,,,,
17/10/2023 21.57.06,Kvinde,31,9560,9560,Familie,4,4,5,0,4,Fælleskab ,2,3,2,2,0,4,0,,,3,2,0,Udeboende,,,,,,
17/10/2023 23.01.28,Mand,32,9000,9000,Kæreste,4,4,2,2,2,,4,0,4,4,2,4,0,,,0,0,0,Udeboende,,,,,,
17/10/2023 23.39.32,Mand,25,9000,8800,Kæreste,4,3,2,2,3,,2,2,2,0,2,3,2,,,1,1,3,Udeboende,,,,,,
17/10/2023 23.48.28,Kvinde,22,9000,9460,Roomie,3,3,3,1,3,,2,1,2,0,0,3,3,,,3,2,2,Udeboende,,,,,,
18/10/2023 00.10.00,Mand,23,9000,9300,Alene,3,2,2,1,3,,3,0,4,2,3,2,2,,,1,0,0,Udeboende,,,,,,
18/10/2023 00.10.10,Kvinde,22,9000,8450,Kæreste,3,5,0,3,4,,2,1,3,2,2,2,2,,,1,0,2,Udeboende,,,,,,
18/10/2023 08.32.11,Kvinde,22,9000,9330,Kæreste,3,3,5,1,2,,3,1,3,3,4,2,0,,,3,1,2,Udeboende,,,,,,
18/10/2023 09.04.27,Mand,25,9000,8370,Kæreste,1,4,0,5,3,,2,2,2,2,2,3,2,,,1,1,3,Udeboende,,,,,,
18/10/2023 22.33.03,Kvinde,24,9000,9000,Kæreste,4,5,3,1,3,,2,3,4,3,3,2,0,,,2,1,1,Udeboende,,,,,,
19/10/2023 11.00.43,Kvinde,23,9000,9260,Alene,4,3,3,3,4,,3,2,3,3,4,4,3,,,3,1,1,Udeboende,,,,,,
19/10/2023 14.52.58,Mand,24,9000,9610,Alene,3,1,3,2,3,,0,1,3,3,4,3,2,,,4,3,3,Udeboende,,,,,,
24/10/2023 13.21.49,Mand,23,9000,9000,Kæreste,3,3,3,1,4,,3,1,3,4,3,3,3,,,0,0,0,Udeboende,,,,,,
24/10/2023 13.22.14,Kvinde,25,9000,9000,Kæreste,3,3,3,1,4,,3,1,3,2,3,4,3,,,4,2,4,Udeboende,,,,,,
24/10/2023 13.23.52,Kvinde,24,9000,9000,Kæreste,4,3,3,0,3,Økonomiske udfordringer,3,1,4,3,3,3,2,,,2,0,1,Udeboende,,,,,,
24/10/2023 13.23.59,Mand,26,9000,9000,Alene,4,3,3,1,3,,3,1,2,4,3,3,3,,,2,0,0,Udeboende,,,,,,
24/10/2023 13.44.07,Mand,25,8210,8000,Kæreste,4,4,4,4,3,,2,2,3,3,4,3,3,,,1,0,0,Udeboende,,,,,,
24/10/2023 13.44.47,Mand,22,9000,9380,Alene,3,3,3,1,4,Sin nære familie,3,1,3,3,4,3,2,,,2,0,0,Udeboende,,,,,,